area_id,area_name,GRDP
46810,Gangjin-gun,953921
46820,Haenam-gun,2322251
46830,Yeongam-gun,3371718
46840,Muan-gun,3358212
46860,Hampyeong-gun,1092857
46870,Yeonggwang-gun,2187878
46880,Jangseong-gun,1977055
46890,Wando-gun,1262316
46900,Jindo-gun,882092
46910,Sinan-gun,1318376
47110,Pohang-si,18620504
47130,Gyeongju-si,9921536
47150,Gimcheon-si,5654517
47170,Andong-si,6018724
47190,Gumi-si,27984001
47210,Yeongju-si,3038326
47230,Yeongcheon-si,3824513
47250,Sangju-si,2492442
47280,Mungyeong-si,1794902
47290,Gyeongsan-si,7997516
47720,Gunwi-gun,846953
47730,Uiseong-gun,1408077
47750,Cheongsong-gun,803523
47760,Yeongyang-gun,439126
47770,Yeongdeok-gun,928968
47820,Cheongdo-gun,1015755
47830,Goryeong-gun,1265197
47840,Seongju-gun,2071278
47850,Chilgok-gun,4584662
47900,Yecheon-gun,1150431
47920,Bonghwa-gun,1163777
47930,Uljin-gun,2468740
47940,Ulleung-gun,278041
48120,Jinju-si,38694382
48170,Tongyeong-si,8495532
48220,Sacheon-si,3153775
48240,Gimhae-si,4355391
48250,Miryang-si,15604555
48270,Geoje-si,3172719
48310,Yangsan-si,8584161
48330,Changwon-si,10795754
48720,Uiryeong-gun,976088
48730,Haman-gun,3999539
48740,Changnyeong-gun,2474636
48820,Goseong-gun,2292902
48840,Namhae-gun,1134093
48850,Hadong-gun,2164021
48860,Sancheong-gun,1096030
48870,Hamyang-gun,1053148
48880,Geochang-gun,1648855
48890,Hapcheon-gun,1151431
50110,Jeju-si,14316106
50130,Seogwipo-si,5299652
