area_id,area_name,GRDP
48270,Geoje-si,3160
48271,Geoje-si,3172
48310,Yangsan-si,9535
48311,Yangsan-si,8584
48330,Changwon-si,10952
48331,Changwon-si,10795
48720,Uiryeong-gun,955
48721,Uiryeong-gun,976
48730,Haman-gun,4003
48731,Haman-gun,3999
48740,Changnyeong-gun,2786
48741,Changnyeong-gun,2474
48820,Goseong-gun,2249
48821,Goseong-gun,2292
48840,Namhae-gun,1123
48841,Namhae-gun,1134
48850,Hadong-gun,2141
48851,Hadong-gun,2164
48860,Sancheong-gun,1056
48861,Sancheong-gun,1096
48870,Hamyang-gun,1051
48871,Hamyang-gun,1053
48880,Geochang-gun,1599
48881,Geochang-gun,1648
48890,Hapcheon-gun,1125
48891,Hapcheon-gun,1151
50110,Jeju-si,14859
50111,Jeju-si,14316
50130,Seogwipo-si,5449
50131,Seogwipo-si,5299
