GRDP,area_id,area_name
490.018,43745,Jeungpyeong-gun
4977.841,43750,Jincheon-gun
265.042,43760,Goesan-gun
4841.393,43770,Eumseong-gun
410.558,43800,Danyang-gun
13013.247,44130,Cheonan-si
1041.144,44150,Gongju-si
404.418,44180,Boryeong-si
25340.342,44200,Asan-si
8832.589,44210,Seosan-si
878.178,44230,Nonsan-si
69.067,44250,Gyeryong-si
5277.742,44270,Dangjin-si
842.153,44710,Geumsan-gun
301.144,44760,Buyeo-gun
465.759,44770,Seocheon-gun
277.754,44790,Cheongyang-gun
417.272,44800,Hongseong-gun
1201.05,44810,Yesan-gun
56.685,44825,Taean-gun
1139.127,45110,Jeonju-si
3053.281,45130,Gunsan-si
2303.348,45140,Iksan-si
824.715,45180,Jeongeup-si
153.866,45190,Namwon_si
802.936,45210,Gimje-si
2178.692,45710,Wanju-gun
36.73,45720,Jinan-gun
36.276,45730,Muju-gun
30.79,45740,Jangsu-gun
85.97,45750,Imsil-gun
87.381,45770,Sunchang-gun
139.678,45790,Gochang-gun
133.493,45800,Buan-gun
203.863,46110,Mokpo-si
12359.655,46130,Yeosu-si
755.636,46150,Suncheon-si
845.417,46170,Naju-si
4496.242,46230,Gwangyang-si
329.436,46710,Damyang-gun
388.935,46720,Gokseong-gun
28.982,46730,Gurye-gun
121.644,46770,Goheung-gun
51.231,46780,Boseong-gun
284.797,46790,Hwasun-gun
91.579,46800,Jangheung-gun
63.58,46810,Gangjin-gun
292.765,46820,Haenam-gun
1470.829,46830,Yeongam-gun
131.212,46840,Muan-gun
169.099,46860,Hampyeong-gun
123.912,46870,Yeonggwang-gun
567.838,46880,Jangseong-gun
53.022,46890,Wando-gun
30.451,46900,Jindo-gun
39.517,46910,Sinan-gun
10108.733,47110,Pohang-si
4636.418,47130,Gyeongju-si
1846.629,47150,Gimcheon-si
531.553,47170,Andong-si
16838.459,47190,Gumi-si
1177.983,47210,Yeongju-si
1757.191,47230,Yeongcheon-si
297.144,47250,Sangju-si
302.887,47280,Mungyeong-si
2725.991,47290,Gyeongsan-si
168.895,47720,Gunwi-gun
140.506,47730,Uiseong-gun
18.122,47750,Cheongsong-gun
15.934,47760,Yeongyang-gun
42.37,47770,Yeongdeok-gun
149.299,47820,Cheongdo-gun
740.171,47830,Goryeong-gun
865.328,47840,Seongju-gun
1877.049,47850,Chilgok-gun
57.838,47900,Yecheon-gun
392.335,47920,Bonghwa-gun
27.165,47930,Uljin-gun
9.586,47940,Ulleung-gun
14702.09,48120,Changwon-si
844.935,48170,Jinju-si
117.18,48220,Tongyeong-si
1840.397,48240,Sacheon-si
6038.699,48250,Gimhae-si
718.826,48270,Miryang-si
4455.218,48310,Geoje-si
4161.976,48330,Yangsan-si
194.122,48720,Uiryeong-gun
1969.92,48730,Haman-gun
1052.079,48740,Changnyeong-gun
408.856,48820,Goseong-gun
31.242,48840,Namhae-gun
60.415,48850,Hadong-gun
91.209,48860,Sancheong-gun
111.557,48870,Hamyang-gun
232.043,48880,Geochang-gun
60.596,48890,Hapcheon-gun
586.889,50110,Jeju-si
121.107,50130,Seogwipo-si
