광역시도,시군구별,시점,항목,지역내총생산시장가격,순생산물세,총부가가치기초가격,농림어업,광업,제조업,전기가스증기및공기조절공급업,건설업,도소매업,운수및창고업,숙박및음식점업,정보통신업,금융보험업,부동산업,사업서비스업,공공행정국방및사회보장,교육서비스업,보건및사회복지서비스업,문화및기타서비스업
전라북도,고창군,2021,2015년 기준년가격(연쇄),1510421,86714,1423399,457213,9641,139678,12086,88256,58894,11061,28195,26074,20956,91270,23940,237592,46491,139104,60599
전라북도,부안군,2019,2015년 기준년가격(연쇄),1385512,103982,1281585,278832,3850,172180,10298,140870,64404,30770,41829,19953,25763,76066,33397,214051,53713,81170,33260
전라북도,부안군,2020,2015년 기준년가격(연쇄),1391594,112644,1278949,274162,3762,161535,15917,163257,60262,24027,38787,22272,28115,75208,18117,232403,35040,100235,26299
전라북도,부안군,2021,2015년 기준년가격(연쇄),1297695,89379,1208493,267524,3387,133493,10603,142613,57518,25891,39235,22791,30608,80265,18931,224480,35459,84467,30773
충청남도,충청남도,2019,2015년 기준년가격(연쇄),112310782,10254233,102076888,4227809,100121,54143399,5280521,4951911,3159668,2328361,1670379,860906,2452957,3795404,4471222,5624125,4138091,3100973,1733533
충청남도,충청남도,2020,2015년 기준년가격(연쇄),112762058,9893232,102919680,3960571,119748,54645762,4920541,5315629,3238143,2257275,1431416,892740,2580210,3913627,4438972,6100941,4108878,3107327,1668345
충청남도,충청남도,2021,2015년 기준년가격(연쇄),118487227,10282593,108268246,4381415,144067,58461140,4877301,5384530,3228417,2261163,1480051,939476,2765025,4000377,4505783,6182885,4394826,3278209,1803528
충청남도,천안시,2019,2015년 기준년가격(연쇄),23210826,1867709,21341747,326968,6810,10305812,82342,934244,1198873,516147,551821,315244,801295,1246572,1908719,541822,1345857,740323,517644
충청남도,천안시,2020,2015년 기준년가격(연쇄),24725228,1997997,22725429,282287,5367,11829649,144622,877759,1225054,513403,468715,387754,848734,1305729,1783983,604903,1326489,752457,460084
충청남도,천안시,2021,2015년 기준년가격(연쇄),26338944,1969353,24376143,356334,7159,13013247,121210,917284,1134252,519067,476177,376929,928570,1294307,1932941,668182,1461051,793975,470420
충청남도,공주시,2019,2015년 기준년가격(연쇄),3429687,261817,3167898,239307,6609,940984,7500,147702,149474,95127,83550,35625,145767,186071,256181,289308,325692,177844,94555
충청남도,공주시,2020,2015년 기준년가격(연쇄),3377259,272941,3104394,240455,7994,949966,15176,155035,144518,80540,72754,34196,145310,184866,230015,280993,308466,172787,98479
충청남도,공주시,2021,2015년 기준년가격(연쇄),3534805,297560,3237399,247062,11318,1041144,13710,149277,176254,99340,79484,44638,122848,193504,227996,284088,288555,179902,106428
충청남도,보령시,2019,2015년 기준년가격(연쇄),4535909,380300,4155026,320279,12950,428089,1475842,430889,134103,89016,111963,36941,117107,166247,123584,254334,170437,163092,77199
충청남도,보령시,2020,2015년 기준년가격(연쇄),4227389,343557,3885168,306640,14685,384352,1307142,334548,137652,99409,96729,26030,118039,172377,134988,295943,160808,158802,82470
충청남도,보령시,2021,2015년 기준년가격(연쇄),4129939,329614,3802411,307294,17468,404418,1129476,244129,133146,92345,90825,36390,140630,171022,194896,330420,179674,170961,85921
충청남도,아산시,2019,2015년 기준년가격(연쇄),30249211,1380247,28871046,250034,18407,23685046,106624,659327,378681,343520,270517,67165,316567,541214,587401,335086,706554,402841,219219
충청남도,아산시,2020,2015년 기준년가격(연쇄),31239713,1534847,29692372,258699,22464,23865661,194331,1052298,409544,365682,230748,64688,341404,566781,603481,362806,674096,406642,219282
충청남도,아산시,2021,2015년 기준년가격(연쇄),33139542,1503546,31643341,279425,21878,25340342,156111,1082270,467982,352306,235473,79681,409837,637773,682885,387573,770309,428088,237736
충청남도,서산시,2019,2015년 기준년가격(연쇄),17525650,3796908,13739176,341625,13501,9368190,139444,1115742,259979,360295,132397,55946,201054,317526,232872,543826,272789,236463,127211
충청남도,서산시,2020,2015년 기준년가격(연쇄),15661980,3095330,12592682,315856,13507,8066954,220979,1087496,264784,364600,117009,50902,211314,322907,266362,626626,280710,245469,126224
충청남도,서산시,2021,2015년 기준년가격(연쇄),17154901,3573196,13587651,344752,17943,8832589,231676,1218571,241178,354675,114211,76569,255907,329213,211986,649803,304423,262928,138514
충청남도,논산시,2019,2015년 기준년가격(연쇄),3833843,256440,3578179,416477,512,852701,12250,155189,170284,90501,65719,57163,147486,194067,149572,693362,227713,225359,116113
충청남도,논산시,2020,2015년 기준년가격(연쇄),4045340,281787,3764200,404506,0,900682,20573,194778,164258,82674,55451,34708,152432,194947,209046,751156,235476,237580,112833
충청남도,논산시,2021,2015년 기준년가격(연쇄),3901652,269528,3632770,441703,168,878178,17461,143163,182585,87763,55917,43288,137651,196787,132418,701582,236427,264155,111578
충청남도,계룡시,2019,2015년 기준년가격(연쇄),1344433,44577,1299931,3692,0,60583,3769,45384,69445,34285,17385,24968,24057,63730,18993,767637,78121,58863,31109
충청남도,계룡시,2020,2015년 기준년가격(연쇄),1492692,54788,1438179,6691,0,70663,6615,76408,83755,21990,15079,62781,26796,66400,21520,819659,78170,58171,31129
충청남도,계룡시,2021,2015년 기준년가격(연쇄),1452103,53492,1398897,4288,0,69067,5376,123046,40914,35291,17642,14529,26538,75489,16412,778898,84162,64080,35078
충청남도,당진시,2019,2015년 기준년가격(연쇄),11472335,985022,10482264,422209,3940,4873641,2013107,610397,244743,392994,119744,46074,196631,311113,333136,278618,248364,239779,174300
충청남도,당진시,2020,2015년 기준년가격(연쇄),11441406,999312,10435430,357175,11268,4997373,1754797,589916,250802,403986,103177,47332,209754,320816,362648,356426,259686,229830,143923
충청남도,당진시,2021,2015년 기준년가격(연쇄),11837833,1002586,10831101,421892,10073,5277742,1781031,552354,251940,345396,135463,36885,222461,302174,339110,398743,277073,242466,181224
충청남도,금산군,2019,2015년 기준년가격(연쇄),2176148,252659,1924844,94931,4744,989151,9320,59065,78706,88901,33589,26176,41479,87810,43508,130348,97313,106591,44368
충청남도,금산군,2020,2015년 기준년가격(연쇄),2197547,260664,1938056,96885,12227,929028,15519,83143,80116,82976,27838,17445,51132,88585,50828,146948,102291,109961,45788
충청남도,금산군,2021,2015년 기준년가격(연쇄),2129409,222306,1909344,92669,10644,842153,13994,94998,87977,91237,24887,25394,42215,90038,74850,144584,103081,117492,51923
충청남도,부여군,2019,2015년 기준년가격(연쇄),1853906,123343,1731192,429167,13190,265290,3657,101846,75018,29148,36215,35985,68990,110268,48563,240637,110276,122227,48785
충청남도,부여군,2020,2015년 기준년가격(연쇄),1850859,133214,1717845,373537,10904,282816,7307,112480,80767,24632,30490,23695,67907,111428,43969,281878,114315,122302,43174
충청남도,부여군,2021,2015년 기준년가격(연쇄),1862250,132835,1729661,370759,12188,301144,6607,94384,82331,28605,29969,12316,64664,110688,36450,308579,113586,126316,49838
충청남도,서천군,2019,2015년 기준년가격(연쇄),2216385,156937,2059784,212123,0,501684,7553,246229,50937,61258,27682,16367,50125,92060,360079,167685,83585,124753,41792
충청남도,서천군,2020,2015년 기준년가격(연쇄),2103934,157959,1946173,192105,0,475756,14239,219902,46834,44857,23069,7380,50472,94525,327653,195626,86886,116115,40789
충청남도,서천군,2021,2015년 기준년가격(연쇄),2189919,166869,2023211,211054,0,465759,161120,151024,59862,47159,26899,15054,54971,93328,297568,214501,86248,133773,43265
충청남도,청양군,2019,2015년 기준년가격(연쇄),1163345,102052,1062436,184847,524,292719,1089,55281,26566,64407,14753,8609,28121,54741,31176,135452,55427,74487,32755
충청남도,청양군,2020,2015년 기준년가격(연쇄),1183309,104840,1079566,162174,0,297569,2795,59595,22549,68952,12927,5299,30481,54334,17416,157245,63638,70639,52660
충청남도,청양군,2021,2015년 기준년가격(연쇄),1190442,99809,1092054,169956,0,277754,2673,59069,26888,76521,15082,10976,29124,54875,26257,166336,55363,69806,53130
충청남도,홍성군,2019,2015년 기준년가격(연쇄),3116142,165836,2950310,367619,11041,397622,6207,112742,147295,72111,60539,87105,157513,174482,91524,813394,194966,179186,79534
