"북구","문화 및 기타서비스업",300624,272384,314004,277325,310764,266663,326106,275799
"수성구","지역내총생산(시장가격)",7716974,7228936,8134646,7544102,8389760,7664486,8919264,7988718
"수성구","순생산물세",513218,472022,537841,497721,567299,500412,625547,520423
"수성구","총부가가치(기초가격)",7203756,6756907,7596805,7046272,7822461,7163975,8293717,7468236
"수성구","농업, 임업 및 어업",5384,4752,6777,6453,7475,6357,4069,3232
"수성구","광업",0,0,0,0,36,36,126,131
"수성구","제조업",75255,71900,75747,73461,142655,136365,92396,90023
"수성구","전기, 가스, 증기 및 공기 조절 공급업",21889,29869,21867,29527,42180,55870,33831,51091
"수성구","건설업",485447,433916,525846,447069,659293,547879,746732,601348
"수성구","도매 및 소매업",594674,577716,573441,569804,539405,546904,560437,558075
"수성구","운수 및 창고업",145126,148300,155711,150741,109282,99684,152893,144435
"수성구","숙박 및 음식점업",360222,329666,377367,335640,302961,268845,299795,258745
"수성구","정보통신업",158918,157549,159064,156843,156637,150729,191194,182273
"수성구","금융 및 보험업",1067892,982842,1129101,1060831,1088033,1052704,1173984,1077571
"수성구","부동산업",1015594,979543,1074832,1027158,1000249,945656,1051165,998077
"수성구","사업서비스업",715610,672060,758677,694574,805234,717963,842476,727035
"수성구","공공행정, 국방 및 사회보장 행정",1081021,960556,1172449,1022949,1410135,1188939,1435158,1200466
"수성구","교육 서비스업",652696,625578,656951,613592,687137,633593,756577,692507
"수성구","보건업 및 사회복지 서비스업",515568,493367,583892,555693,574036,530894,644140,591970
"수성구","문화 및 기타서비스업",308458,283333,325085,292055,297713,259608,308743,265844
"달서구","지역내총생산(시장가격)",11620034,11159079,12090472,11498434,11708977,10995447,12790786,11890871
"달서구","순생산물세",930580,859928,958002,890648,922048,869174,1031917,922764
"달서구","총부가가치(기초가격)",10689453,10300485,11132470,10608966,10786929,10126963,11758870,10968783
"달서구","농업, 임업 및 어업",1144,1121,3068,3306,3094,2932,3958,3252
"달서구","광업",0,0,75,72,421,425,31,32
"달서구","제조업",4286195,4188904,4111619,3985922,3240999,3094757,3905686,3734810
"달서구","전기, 가스, 증기 및 공기 조절 공급업",119417,158573,119708,157219,99859,123801,73229,112100
"달서구","건설업",440681,394118,438841,373491,519054,432087,636983,513953
"달서구","도매 및 소매업",858988,833709,852425,846397,766960,777372,770302,766991
"달서구","운수 및 창고업",383295,398858,420622,411876,350311,323659,408320,395640
"달서구","숙박 및 음식점업",197353,166498,216832,177135,305288,249880,309017,252706
"달서구","정보통신업",279969,293499,191868,206746,129694,138743,166518,175800
"달서구","금융 및 보험업",543084,499167,549754,512370,648686,617536,641899,581454
"달서구","부동산업",862028,829616,1016749,969450,980638,924902,867807,818483
"달서구","사업서비스업",716777,672095,802850,736278,693745,611724,707435,598322
