"성주군","보건업 및 사회복지서비스업",49217,45417
"성주군","문화 및 기타서비스업",58282,41806
"칠곡군","지역내총생산(시장가격)",4271737,3937291
"칠곡군","순생산물세",276148,236280
"칠곡군","총부가가치(기초가격)",3995588,3700476
"칠곡군","농업, 어업 및 임업",166512,136440
"칠곡군","광업",6793,7285
"칠곡군","제조업",1962932,1877049
"칠곡군","전기가스증기및공기조절업",27271,47120
"칠곡군","건설업",122889,98358
"칠곡군","도매및소매업",247568,246724
"칠곡군","운수및창고업",233685,232455
"칠곡군","숙박 및 음식점업",65409,56605
"칠곡군","정보통신업",57074,63854
"칠곡군","금융 및 보험업",59668,55051
"칠곡군","부동산업",218856,211723
"칠곡군","사업서비스업",119306,98092
"칠곡군","공공행정,국방 및 사회보장 행정",219652,190782
"칠곡군","교육서비스업(정부)",209632,160875
"칠곡군","보건업 및 사회복지서비스업",129940,120368
"칠곡군","문화 및 기타서비스업",148400,118659
"예천군","지역내총생산(시장가격)",1370332,1157876
"예천군","순생산물세",60659,51902
"예천군","총부가가치(기초가격)",1309673,1105969
"예천군","농업, 어업 및 임업",321485,249784
"예천군","광업",854,-
"예천군","제조업",60484,57838
"예천군","전기가스증기및공기조절업",5404,9337
"예천군","건설업",110963,88682
"예천군","도매및소매업",45525,45278
"예천군","운수및창고업",8735,8273
"예천군","숙박 및 음식점업",22496,19704
"예천군","정보통신업",18422,22696
"예천군","금융 및 보험업",31430,28770
"예천군","부동산업",34567,33214
"예천군","사업서비스업",39585,31399
"예천군","공공행정,국방 및 사회보장 행정",359582,308193
"예천군","교육서비스업(정부)",121748,89345
"예천군","보건업 및 사회복지서비스업",70025,64862
"예천군","문화 및 기타서비스업",58367,51984
"봉화군","지역내총생산(시장가격)",1293982,1168458
"봉화군","순생산물세",73943,63268
"봉화군","총부가가치(기초가격)",1220039,1105095
"봉화군","농업, 어업 및 임업",288631,252996
"봉화군","광업",9200,6599
"봉화군","제조업",410286,392335
"봉화군","전기가스증기및공기조절업",24103,41647
"봉화군","건설업",90592,71370
"봉화군","도매및소매업",16662,16550
"봉화군","운수및창고업",8363,8308
"봉화군","숙박 및 음식점업",17081,14963
"봉화군","정보통신업",11017,13486
"봉화군","금융 및 보험업",18772,17149
"봉화군","부동산업",11666,11350
"봉화군","사업서비스업",8553,6973
"봉화군","공공행정,국방 및 사회보장 행정",190236,165216
"봉화군","교육서비스업(정부)",57677,42039
"봉화군","보건업 및 사회복지서비스업",28163,26016
"봉화군","문화 및 기타서비스업",29038,23411
"울진군","지역내총생산(시장가격)",2077976,2310343
"울진군","순생산물세",131456,112477
"울진군","총부가가치(기초가격)",1946520,2195874
"울진군","농업, 어업 및 임업",100253,94364
"울진군","광업",5082,5418
"울진군","제조업",28408,27165
"울진군","전기가스증기및공기조절업",690937,1193843
"울진군","건설업",285935,227365
"울진군","도매및소매업",55116,54856
"울진군","운수및창고업",15003,12976
"울진군","숙박 및 음식점업",49267,44861
"울진군","정보통신업",15584,19706
"울진군","금융 및 보험업",35412,33885
"울진군","부동산업",82760,76681
"울진군","사업서비스업",133772,101894
"울진군","공공행정,국방 및 사회보장 행정",257778,223571
"울진군","교육서비스업(정부)",87019,60618
"울진군","보건업 및 사회복지서비스업",56814,52308
"울진군","문화 및 기타서비스업",47379,37522
"울릉군","지역내총생산(시장가격)",354236,305623
"울릉군","순생산물세",16455,14079
"울릉군","총부가가치(기초가격)",337781,291515
"울릉군","농업, 어업 및 임업",16640,19042
"울릉군","광업",-,-
"울릉군","제조업",10025,9586
"울릉군","전기가스증기및공기조절업",961,1661
"울릉군","건설업",75556,59449
"울릉군","도매및소매업",11970,11868
