area_id,area_name,population,age_old_dependency_ratio,age_working_population,age_old,code
41450,Hanam-si,320087,31.219486334215308,207489.0,64777.0,41450
41460,Yongin-si,1077508,30.899797830234345,702380.0,217034.0,41460
41480,Paju-si,483245,33.042145446749416,312513.0,103261.0,41480
41500,Icheon-si,223177,35.49463614052408,143833.0,51053.0,41500
41550,Anseong-si,189534,43.8230699239472,116498.0,51053.0,41550
41570,Gimpo-si,486508,30.819237403774363,310728.0,95764.0,41570
41590,Hwaseong-si,887015,22.03528545205832,598717.0,131929.0,41590
41610,Gwangju-si,387289,35.057748027577794,249186.0,87359.0,41610
41630,Yangju-si,236368,39.6259266816296,147030.0,58262.0,41630
41650,Pocheon-si,148939,55.24582262210797,87136.0,48139.0,41650
41670,Yeoju-si,112150,59.39327485380117,62928.0,37375.0,41670
41800,Yeoncheon-gun,42721,73.9794992743106,22048.0,16311.0,41800
41820,Gapyeong-gun,62264,75.17763361136855,32370.0,24335.0,41820
41830,Yangpyeong-gun,121230,73.90005086469989,62912.0,46492.0,41830
42110,Chuncheon-si,284594,44.72377800407332,172832.0,77297.0,42110
42130,Wonju-si,357757,39.05273798444089,224563.0,87698.0,42130
42150,Gangneung-si,212965,55.44702311006659,122544.0,67947.0,42150
42170,Donghae-si,90081,53.49824554601322,51583.0,27596.0,42170
42190,Taebaek-si,40844,70.79983072365637,21267.0,15057.0,42190
42210,Sokcho-si,82791,51.31785183963042,48488.0,24883.0,42210
42230,Samcheok-si,63429,68.68809679141214,33722.0,23163.0,42230
42720,Hongcheon-gun,68365,81.99430533947809,34067.0,27933.0,42720
42730,Hoengseong-gun,46481,94.7040072859745,21960.0,20797.0,42730
42750,Yeongwol-gun,37904,89.67713834594653,18367.0,16471.0,42750
42760,Pyeongchang-gun,40996,89.08652396744046,19902.0,17730.0,42760
42770,Jeongseon-gun,35675,85.79603983060547,17474.0,14992.0,42770
42780,Cheorwon-gun,43340,61.45678488001699,23545.0,14470.0,42780
42790,Hwacheon-gun,24195,60.89507333584054,13295.0,8096.0,42790
42800,Yanggu-gun,21748,58.73875374875042,12004.0,7051.0,42800
42810,Inje-gun,32165,56.63629377538698,18218.0,10318.0,42810
42820,Goseong-gun,27249,83.51463824195079,13697.0,11439.0,42820
42830,Yangyang-gun,27913,87.66153172227494,13697.0,12007.0,42830
43110,Cheongju-si,848482,33.68606669778841,548384.0,184729.0,43110
43130,Chungju-si,209358,52.92590027700831,121296.0,64197.0,43130
43150,Jecheon-si,131591,60.87207068766808,72884.0,44366.0,43150
43720,Boeun-gun,31878,112.90018148820327,13775.0,15552.0,43720
43730,Okcheon-gun,50093,89.32131583319489,24076.0,21505.0,43730
43740,Yeongdong-gun,45773,98.60939137060672,20998.0,20706.0,43740
43745,Jeungpyeong-gun,36426,45.50535846267554,21648.0,9851.0,43745
43750,Jincheon-gun,85176,40.98244403557191,52176.0,21383.0,43750
43760,Goesan-gun,38122,115.84206678040458,16412.0,19012.0,43760
43770,Eumseong-gun,92197,58.891774891774894,51975.0,30609.0,43770
43800,Danyang-gun,28331,102.5631067961165,12875.0,13205.0,43800
